"index","imdb_title_id","title","year","genre","duration","country","director","production_company","budget","total_votes","median_vote","18andunder","under30","under45","males","malesunder18","malesunder30","malesunder45","females","femalesunder18","femalesunder30","femalesunder45"
"4462","tt3707284","Face of Evil","2016","Horror","90","USA","Vito Dinatolo","V-Movie",100000,"149","3","1.9","3.1","3.1","3.1","1.9","3.2","3.3","2.3","1","2.1","2.4"
"4463","tt3714492","Hello I Love You","2018","Comedy","100","USA","Spanky Dustin Ward","Otay Productions",10000,"138","6","5.2","6.1","5.2","5.8","4.7","6.2","5.4","5.6","4.6","5.9","5.3"
"4464","tt3714720","The Hollars","2016","Comedy","88","USA","John Krasinski","Sycamore Pictures",3800000,"10523","7","6.6","6.5","6.7","6.5","6.6","6.4","6.6","6.6","6.5","6.6","7"
"4465","tt3715320","Irrational Man","2015","Comedy","95","USA","Woody Allen","Gravier Productions",11000000,"52610","7","6.7","6.6","6.6","6.6","6.8","6.6","6.6","6.6","6.6","6.5","6.6"
"4466","tt3717252","Underworld: Blood Wars","2016","Action","91","USA","Anna Foerster","Screen Gems",35000000,"64734","6","5.9","5.7","5.9","5.7","5.8","5.6","5.8","6.2","6.3","6","6.4"
"4467","tt3718066","Captain Z & the Terror of Leviathan","2014","Comedy","80","USA","Steve Rudzinski","Silver Spotlight Films",15000,"105","4","6","3.5","2.9","3","4","3.3","2.9","7.9","10","7.3","10"
"4468","tt3719896","My All-American","2015","Biography","118","USA","Angelo Pizzo","Anthem Productions",20000000,"5240","7","7.3","7","7.2","7.1","7.3","7","7.1","7.3","7.2","7.1","7.6"
"4469","tt3727202","Life on the Line","2015","Action","97","USA","David Hackl","Elite Film Productions",12000000,"4056","5","5.4","5.1","5.2","5.1","5.4","5","5.2","5.7","5.9","5.5","5.8"
"4470","tt3729920","The Disappearance of Eleanor Rigby: Them","2014","Drama","123","USA","Ned Benson","Unison Films",3000000,"11076","7","6.6","6.3","6","6.2","6.6","6.2","5.9","6.5","6.6","6.4","6.3"
"4471","tt3733606","Who's Driving Doug","2016","Drama","99","USA","David Michael Conley","Katz Agency",1500000,"402","6","5.8","6","6.1","5.9","5.7","6","6","6.4","6.2","6","6.7"
"4472","tt3733774","The Trust","2016","Comedy","92","USA","Alex Brewer","Highland Film Group (HFG)",9000000,"16453","6","5.5","5.4","5.3","5.5","5.6","5.5","5.3","5.1","4.8","5.2","5.3"
"4473","tt3739110","The Yellow Birds","2017","Drama","94","USA","Alexandre Moors","Cinelou Films",12000000,"2724","6","5.9","5.5","5.8","5.6","5.8","5.5","5.7","5.9","6.1","5.5","5.9"
"4474","tt3743362","Earthrise","2014","Drama","90","USA","Glenn Payne","Dead Leaf Productions",10000,"476","4","3.9","3.6","3.3","3.3","4.7","3.3","3.2","4.2","3.7","4.8","3.7"
"4475","tt3748048","Something in the Woods","2015","Family","88","USA","David Ford","GodZone Ministry",125000,"352","5","3.2","3.9","3.8","3.8","3.2","4","3.8","3.7","3.3","3.5","4.2"
"4476","tt3748076","The Damned Thing","2014","Horror","84","USA","Derrick Granado","Blue Light Pictures",10000,"198","3","3.3","3","2.8","3","4","2.9","3.1","2.5","1.1","3","2.1"
"4477","tt3748528","Rogue One","2016","Action","133","USA","Gareth Edwards","Lucasfilm",200000000,"494455","8","7.8","7.7","7.8","7.8","7.8","7.7","7.8","7.7","7.8","7.7","7.7"
"4478","tt3748540","Dwelling","2016","Horror","88","USA","Kyle Mecca","BeWILdered Media Productions",46094,"290","4","3.5","4.1","3.4","3.8","3.5","4.1","3.5","3.6","3.6","4.1","3.4"
"4479","tt3752610","2 Years of Love","2017","Romance","88","USA","Thadd Turner","Talmarc Film Productions",3000000,"142","4","5.2","4.1","4.1","4.3","4.6","4.1","4.5","4.4","5.6","4.1","3.4"
"4480","tt3763748","The Evil Inside Her","2019","Horror","78","USA","James Suttles","SuttleFilm",300000,"200","3","3.2","3.5","3.7","3.6","3.3","3.5","3.8","3.3","3.1","3.5","3.6"
"4481","tt3766354","The Equalizer 2","2018","Action","121","USA","Antoine Fuqua","Columbia Pictures",62000000,"108774","7","6.7","6.6","6.8","6.7","6.7","6.6","6.8","7","7","6.9","7.3"
